,0,1
875,44.0,26.88
876,50.0,22.78
877,25.0,13.94
878,19.0,12.31
879,67.0,25.11
880,38.0,27.62
881,22.0,13.17
882,50.0,24.88
883,41.0,27.88
884,45.0,28.43
885,41.0,26.62
886,44.0,23.12
887,55.0,31.14
888,39.0,24.11
889,32.0,16.92
890,50.0,25.89
891,40.0,28.14
892,28.0,17.54
893,41.0,19.42
894,20.0,10.28
895,24.0,12.28
896,24.0,12.25
897,47.0,32.86
898,36.0,21.75
899,44.0,29.57
900,30.0,18.83
901,29.0,16.69
902,31.0,21.27
903,43.0,22.56
904,36.0,15.29
905,33.0,19.25
906,48.0,28.71
907,31.0,18.73
908,33.0,23.1
909,32.0,17.6
910,36.0,22.78
911,45.0,25.62
912,50.0,20.36
913,29.0,16.5
914,42.0,22.7
915,41.0,18.33
916,18.0,11.55
917,28.0,13.41
918,28.0,18.33
919,36.0,17.82
920,19.0,9.57
921,52.0,34.0
922,21.0,8.96
923,41.0,18.73
924,17.0,7.0
925,21.0,11.32
926,40.0,21.8
927,16.0,9.07
928,23.0,11.18
929,19.0,8.44
930,28.0,14.93
931,22.0,12.21
932,17.0,8.88
933,24.0,11.67
934,18.0,12.5
935,53.0,32.43
936,92.0,37.0
937,40.0,21.3
938,19.0,12.62
939,40.0,20.7
940,52.0,26.0
941,18.0,10.64
942,34.0,22.56
943,18.0,10.04
944,29.0,19.89
945,31.0,17.23
946,27.0,16.5
947,18.0,9.67
948,53.0,24.56
949,55.0,25.38
950,30.0,16.46
951,24.0,13.83
952,28.0,14.0
953,21.0,13.86
954,34.0,18.25
955,41.0,18.67
956,28.0,19.2
957,30.0,16.14
958,44.0,16.43
959,27.0,17.46
960,21.0,12.11
961,52.0,23.89
962,19.0,8.96
963,20.0,11.8
964,21.0,11.75
965,32.0,15.07
966,35.0,22.25
967,41.0,24.86
968,15.0,7.25
969,20.0,12.35
970,29.0,17.82
971,36.0,23.67
972,40.0,17.0
973,31.0,23.22
974,21.0,10.05
975,22.0,14.4
976,57.0,25.78
977,19.0,9.76
978,30.0,21.78
979,21.0,11.25
980,20.0,12.5
981,26.0,13.86
982,12.0,8.76
983,19.0,10.83
984,19.0,10.12
985,22.0,13.65
986,16.0,9.96
987,36.0,18.9
988,17.0,12.0
989,22.0,12.8
990,10.0,6.43
991,18.0,9.03
992,33.0,21.4
993,18.0,9.33
994,15.0,8.08
995,33.0,19.78
996,22.0,14.54
997,33.0,18.82
998,29.0,17.69
999,50.0,24.71
1000,15.0,9.46
1001,20.0,10.52
1002,20.0,6.1
1003,27.0,14.53
1004,16.0,7.08
1005,15.0,10.29
1006,26.0,11.8
1007,20.0,8.55
1008,33.0,18.18
1009,23.0,14.57
1010,19.0,10.12
1011,17.0,10.74
1012,17.0,8.59
1013,15.0,8.42
1014,18.0,10.0
1015,23.0,12.35
1016,16.0,9.65
1017,20.0,12.3
1018,39.0,23.1
1019,41.0,28.0
1020,32.0,20.6
1021,44.0,22.4
1022,22.0,11.16
1023,39.0,29.33
1024,48.0,26.62
1025,17.0,10.59
1026,16.0,9.53
1027,20.0,13.41
1028,25.0,13.62
1029,41.0,16.47
1030,29.0,15.44
1031,23.0,15.33
1032,26.0,14.0
1033,31.0,18.82
1034,30.0,19.7
1035,26.0,14.87
1036,29.0,18.75
1037,32.0,13.81
1038,16.0,8.29
1039,15.0,9.56
1040,13.0,7.47
1041,35.0,23.33
1042,21.0,13.13
1043,23.0,11.52
1044,38.0,24.38
1045,21.0,11.35
1046,19.0,12.31
1047,14.0,9.24
1048,25.0,11.71
1049,24.0,12.17
1050,19.0,10.77
1051,31.0,14.87
1052,39.0,19.82
1053,21.0,12.53
1054,24.0,10.44
1055,31.0,17.08
1056,20.0,13.25
1057,23.0,12.62
1058,22.0,10.86
1059,28.0,15.67
1060,18.0,12.57
1061,40.0,29.0
1062,19.0,11.55
